,年齢,不安
1,67,まったくそう思わない
2,51,ややそう思う
3,71,ややそう思う
4,53,ややそう思う
5,47,ややそう思う
6,48,ややそう思う
7,44,あまりそう思わない
8,79,あまりそう思わない
9,63,とてもそう思う
10,50,ややそう思う
11,69,とてもそう思う
12,47,とてもそう思う
13,65,ややそう思う
14,51,ややそう思う
15,32,あまりそう思わない
16,40,あまりそう思わない
17,66,ややそう思う
18,57,ややそう思う
19,66,あまりそう思わない
20,38,まったくそう思わない
21,45,ややそう思う
22,77,とてもそう思う
23,61,あまりそう思わない
24,65,ややそう思う
25,55,ややそう思う
26,29,まったくそう思わない
27,46,あまりそう思わない
28,48,ややそう思う
29,76,まったくそう思わない
30,39,あまりそう思わない
31,41,あまりそう思わない
32,50,ややそう思う
33,59,ややそう思う
34,54,とてもそう思う
35,63,とてもそう思う
36,27,あまりそう思わない
37,21,とてもそう思う
38,72,とてもそう思う
39,65,まったくそう思わない
40,62,ややそう思う
41,65,あまりそう思わない
42,72,とてもそう思う
43,29,ややそう思う
44,63,ややそう思う
45,53,あまりそう思わない
46,63,ややそう思う
47,22,あまりそう思わない
48,41,あまりそう思わない
49,42,ややそう思う
50,37,あまりそう思わない
51,71,ややそう思う
52,44,とてもそう思う
53,66,ややそう思う
54,53,とてもそう思う
55,49,とてもそう思う
56,19,とてもそう思う
57,40,あまりそう思わない
58,64,ややそう思う
59,68,ややそう思う
60,64,とてもそう思う
61,67,ややそう思う
62,21,あまりそう思わない
63,59,とてもそう思う
64,62,とてもそう思う
65,73,まったくそう思わない
66,76,ややそう思う
67,61,ややそう思う
68,44,ややそう思う
69,66,ややそう思う
70,68,ややそう思う
71,69,あまりそう思わない
72,54,ややそう思う
73,69,とてもそう思う
74,71,あまりそう思わない
75,62,あまりそう思わない
76,59,あまりそう思わない
77,38,あまりそう思わない
78,37,あまりそう思わない
79,62,とてもそう思う
80,59,とてもそう思う
81,60,とてもそう思う
82,69,とてもそう思う
83,56,ややそう思う
84,75,ややそう思う
85,26,ややそう思う
86,73,あまりそう思わない
87,83,あまりそう思わない
88,41,ややそう思う
89,24,あまりそう思わない
90,52,ややそう思う
91,52,ややそう思う
92,65,あまりそう思わない
93,26,とてもそう思う
94,59,あまりそう思わない
95,48,あまりそう思わない
96,44,まったくそう思わない
97,50,あまりそう思わない
98,75,とてもそう思う
99,64,まったくそう思わない
100,33,ややそう思う
101,79,あまりそう思わない
102,55,あまりそう思わない
103,26,とてもそう思う
104,36,とてもそう思う
105,67,あまりそう思わない
106,70,あまりそう思わない
107,62,ややそう思う
108,68,ややそう思う
109,40,とてもそう思う
110,46,まったくそう思わない
111,62,ややそう思う
112,53,ややそう思う
113,67,ややそう思う
114,63,とてもそう思う
115,69,あまりそう思わない
116,38,とてもそう思う
117,51,あまりそう思わない
118,42,ややそう思う
119,22,ややそう思う
120,52,とてもそう思う
121,53,まったくそう思わない
122,45,ややそう思う
123,52,ややそう思う
124,46,まったくそう思わない
125,37,ややそう思う
126,81,まったくそう思わない
127,48,ややそう思う
128,65,あまりそう思わない
129,64,あまりそう思わない
130,25,ややそう思う
131,57,まったくそう思わない
132,19,ややそう思う
133,53,ややそう思う
134,64,あまりそう思わない
135,60,とてもそう思う
136,45,まったくそう思わない
137,68,ややそう思う
138,64,ややそう思う
139,18,あまりそう思わない
140,78,まったくそう思わない
141,47,あまりそう思わない
142,76,ややそう思う
143,29,あまりそう思わない
144,76,あまりそう思わない
145,50,ややそう思う
146,73,あまりそう思わない
147,61,あまりそう思わない
148,43,あまりそう思わない
149,70,あまりそう思わない
150,73,ややそう思う
151,70,ややそう思う
152,58,あまりそう思わない
153,65,ややそう思う
154,54,あまりそう思わない
155,66,まったくそう思わない
156,59,とてもそう思う
157,52,あまりそう思わない
158,60,とてもそう思う
159,50,ややそう思う
160,36,あまりそう思わない
161,21,ややそう思う
162,73,とてもそう思う
163,20,ややそう思う
164,41,ややそう思う
165,70,ややそう思う
166,59,ややそう思う
167,61,ややそう思う
168,68,とてもそう思う
169,59,ややそう思う
170,61,とてもそう思う
171,54,ややそう思う
172,66,まったくそう思わない
173,50,まったくそう思わない
174,69,ややそう思う
175,48,まったくそう思わない
176,69,ややそう思う
177,71,ややそう思う
178,64,ややそう思う
179,51,ややそう思う
180,53,とてもそう思う
181,58,とてもそう思う
182,74,まったくそう思わない
183,54,ややそう思う
184,64,ややそう思う
185,69,ややそう思う
186,53,ややそう思う
187,58,ややそう思う
188,57,ややそう思う
189,57,あまりそう思わない
190,53,あまりそう思わない
191,50,まったくそう思わない
192,70,まったくそう思わない
193,22,ややそう思う
194,29,とてもそう思う
195,61,ややそう思う
196,59,とてもそう思う
197,71,まったくそう思わない
198,45,あまりそう思わない
199,63,とてもそう思う
200,45,あまりそう思わない
201,70,まったくそう思わない
202,59,ややそう思う
203,76,ややそう思う
204,63,とてもそう思う
205,58,ややそう思う
206,37,あまりそう思わない
207,61,まったくそう思わない
208,56,とてもそう思う
209,61,ややそう思う
210,72,ややそう思う
211,74,あまりそう思わない
212,26,ややそう思う
213,64,ややそう思う
214,71,ややそう思う
215,67,とてもそう思う
216,69,まったくそう思わない
217,50,とてもそう思う
218,55,ややそう思う
219,39,あまりそう思わない
220,47,とてもそう思う
221,61,まったくそう思わない
222,61,ややそう思う
223,46,ややそう思う
224,37,あまりそう思わない
225,45,ややそう思う
226,68,ややそう思う
227,43,あまりそう思わない
228,52,ややそう思う
229,20,ややそう思う
230,64,ややそう思う
231,43,まったくそう思わない
232,25,とてもそう思う
233,47,とてもそう思う
234,50,ややそう思う
235,19,ややそう思う
236,65,とてもそう思う
237,73,ややそう思う
238,64,とてもそう思う
239,64,とてもそう思う
240,65,あまりそう思わない
241,56,ややそう思う
242,85,ややそう思う
243,38,あまりそう思わない
244,77,ややそう思う
245,22,ややそう思う
246,71,ややそう思う
247,45,ややそう思う
248,48,まったくそう思わない
249,61,ややそう思う
250,41,あまりそう思わない
251,71,とてもそう思う
252,71,とてもそう思う
253,50,ややそう思う
254,47,あまりそう思わない
255,35,まったくそう思わない
256,32,あまりそう思わない
257,62,ややそう思う
258,69,あまりそう思わない
259,37,ややそう思う
260,47,まったくそう思わない
261,31,あまりそう思わない
262,64,ややそう思う
263,52,とてもそう思う
264,55,とてもそう思う
265,76,あまりそう思わない
266,43,ややそう思う
267,60,とてもそう思う
268,67,ややそう思う
269,62,あまりそう思わない
270,68,とてもそう思う
271,64,ややそう思う
272,54,ややそう思う
273,65,ややそう思う
274,60,とてもそう思う
275,64,ややそう思う
276,44,あまりそう思わない
277,36,ややそう思う
278,55,あまりそう思わない
279,62,まったくそう思わない
280,60,ややそう思う
281,30,あまりそう思わない
282,81,ややそう思う
283,53,あまりそう思わない
284,36,とてもそう思う
285,70,とてもそう思う
286,61,ややそう思う
287,45,あまりそう思わない
288,71,あまりそう思わない
289,41,あまりそう思わない
290,59,ややそう思う
291,71,あまりそう思わない
292,76,あまりそう思わない
293,59,とてもそう思う
294,63,ややそう思う
295,64,ややそう思う
296,66,とてもそう思う
297,52,とてもそう思う
298,55,ややそう思う
299,23,とてもそう思う
300,41,まったくそう思わない
301,71,ややそう思う
302,66,とてもそう思う
303,34,ややそう思う
304,65,とてもそう思う
305,76,ややそう思う
306,67,あまりそう思わない
307,64,あまりそう思わない
308,62,とてもそう思う
309,57,ややそう思う
310,35,まったくそう思わない
311,56,とてもそう思う
312,65,まったくそう思わない
313,65,とてもそう思う
314,47,ややそう思う
315,76,ややそう思う
316,77,ややそう思う
317,55,ややそう思う
318,22,ややそう思う
319,80,とてもそう思う
320,56,ややそう思う
321,63,あまりそう思わない
322,71,まったくそう思わない
323,71,とてもそう思う
324,61,とてもそう思う
325,76,とてもそう思う
326,59,ややそう思う
327,52,ややそう思う
328,63,あまりそう思わない
329,27,あまりそう思わない
330,75,あまりそう思わない
331,42,ややそう思う
332,67,ややそう思う
333,20,ややそう思う
334,66,まったくそう思わない
335,54,ややそう思う
336,34,まったくそう思わない
337,64,ややそう思う
338,59,あまりそう思わない
339,46,ややそう思う
340,53,ややそう思う
341,36,ややそう思う
342,23,ややそう思う
343,58,とてもそう思う
344,47,ややそう思う
345,40,ややそう思う
346,45,ややそう思う
347,73,まったくそう思わない
348,54,あまりそう思わない
349,28,あまりそう思わない
350,62,ややそう思う
351,62,ややそう思う
352,26,ややそう思う
353,57,ややそう思う
354,52,とてもそう思う
355,57,あまりそう思わない
356,67,ややそう思う
357,24,ややそう思う
358,74,ややそう思う
359,50,あまりそう思わない
360,42,ややそう思う
361,36,ややそう思う
362,38,ややそう思う
363,36,ややそう思う
364,46,とてもそう思う
365,63,ややそう思う
366,54,とてもそう思う
367,64,ややそう思う
368,64,ややそう思う
369,53,あまりそう思わない
370,62,とてもそう思う
371,64,ややそう思う
372,56,ややそう思う
373,49,あまりそう思わない
374,66,ややそう思う
375,60,ややそう思う
376,73,ややそう思う
377,49,ややそう思う
378,53,とてもそう思う
379,63,あまりそう思わない
380,77,ややそう思う
381,31,ややそう思う
382,43,ややそう思う
383,68,ややそう思う
384,46,あまりそう思わない
385,62,ややそう思う
386,78,まったくそう思わない
387,36,ややそう思う
388,77,とてもそう思う
389,74,ややそう思う
390,51,あまりそう思わない
391,64,とてもそう思う
392,59,ややそう思う
393,36,とてもそう思う
394,79,とてもそう思う
395,66,あまりそう思わない
396,45,あまりそう思わない
397,53,ややそう思う
398,73,とてもそう思う
399,70,まったくそう思わない
400,31,ややそう思う
401,56,ややそう思う
