A B C
1 57 45 69
2 31 20 48
3 66 67 35
4 56 50 70
5 28 49 38
6 6 28 0
7 26 34 29
8 22 34 12
9 51 41 29
10 73 94 98
11 52 43 65
12 35 32 25
13 46 32 53
14 31 59 37
15 61 81 80
16 51 40 39
17 65 43 84
18 49 73 39
19 48 42 42
20 56 35 98
21 46 31 44
22 19 15 38
23 19 6 30
24 40 52 59
25 28 32 37
26 58 38 46
27 17 21 27
28 17 24 23
29 27 32 53
30 66 59 46
31 42 20 78
32 56 39 53
33 35 49 48
34 5 7 1
35 61 30 68
36 52 60 46
37 26 43 35
38 58 45 57
39 32 50 31
40 44 43 48
41 33 17 33
42 30 12 40
43 28 35 27
44 68 61 49
45 40 20 56
46 34 26 45
47 34 68 33
48 33 9 32
49 38 24 42
50 48 53 48
