number,age,gender,trial,score
1,Under40,Man,New,Under70
2,Under40,Woman,New,Under70
3,Over40,Woman,Retry,Under70
4,Over40,Man,New,Over70
5,Over40,Woman,New,Over70
6,Under40,Man,New,Over70
7,Under40,Woman,New,Under70
8,Under40,Man,New,Over70
9,Under40,Woman,Retry,Under70
10,Under40,Man,New,Over70
11,Over40,Man,Retry,Under70
12,Over40,Woman,New,Under70
13,Over40,Woman,New,Over70
14,Over40,Man,New,Under70
15,Over40,Woman,New,Over70
16,Over40,Woman,New,Over70
17,Over40,Woman,Retry,Over70
18,Under40,Man,New,Over70
19,Under40,Man,New,Over70
20,Over40,Woman,New,Under70
21,Under40,Woman,Retry,Under70
22,Over40,Man,New,Over70
23,Under40,Man,New,Over70
24,Under40,Man,Retry,Over70
25,Over40,Woman,New,Over70
26,Over40,Man,New,Over70
27,Over40,Man,New,Under70
28,Over40,Woman,New,Under70
29,Over40,Woman,New,Under70
30,Under40,Man,New,Over70
31,Over40,Man,New,Over70
32,Under40,Man,Retry,Over70
33,Under40,Woman,New,Over70
34,Under40,Woman,New,Under70
35,Under40,Woman,New,Under70
36,Over40,Woman,New,Under70
37,Over40,Man,Retry,Under70
38,Under40,Man,New,Over70
39,Under40,Woman,Retry,Over70
40,Under40,Man,Retry,Over70
41,Over40,Woman,New,Under70
42,Under40,Man,Retry,Under70
43,Under40,Woman,New,Over70
44,Over40,Man,New,Over70
45,Under40,Woman,New,Over70
46,Over40,Woman,New,Under70
47,Over40,Woman,New,Under70
48,Over40,Woman,New,Under70
49,Over40,Woman,Retry,Under70
50,Under40,Man,New,Over70
51,Under40,Man,Retry,Under70
52,Over40,Man,New,Over70
53,Under40,Woman,New,Over70
54,Under40,Woman,New,Over70
55,Under40,Man,New,Over70
56,Under40,Woman,Retry,Under70
57,Under40,Woman,Retry,Under70
58,Under40,Woman,Retry,Under70
59,Under40,Woman,New,Over70
60,Under40,Woman,Retry,Under70
61,Under40,Man,New,Over70
62,Over40,Woman,Retry,Under70
63,Over40,Woman,New,Under70
64,Under40,Woman,New,Over70
65,Over40,Woman,New,Under70
66,Under40,Woman,Retry,Under70
67,Under40,Woman,New,Over70
68,Over40,Woman,New,Under70
69,Under40,Man,Retry,Under70
70,Over40,Man,New,Over70
71,Under40,Woman,New,Over70
72,Under40,Woman,Retry,Under70
73,Over40,Woman,New,Under70
74,Under40,Woman,New,Over70
75,Over40,Man,Retry,Under70
76,Under40,Man,New,Over70
77,Over40,Woman,New,Under70
78,Over40,Woman,Retry,Over70
79,Over40,Woman,New,Under70
80,Over40,Woman,Retry,Under70
81,Over40,Man,New,Under70
82,Over40,Woman,Retry,Under70
83,Under40,Man,New,Over70
84,Under40,Woman,New,Over70
85,Over40,Woman,Retry,Under70
86,Under40,Man,New,Over70
87,Over40,Man,New,Under70
88,Over40,Woman,Retry,Under70
89,Under40,Woman,New,Over70
90,Under40,Man,New,Over70
91,Over40,Woman,New,Under70
92,Over40,Woman,Retry,Over70
93,Over40,Man,New,Under70
94,Under40,Woman,New,Under70
95,Over40,Man,New,Under70
96,Over40,Woman,Retry,Under70
97,Under40,Woman,New,Over70
98,Under40,Woman,Retry,Under70
99,Over40,Man,New,Under70
100,Over40,Man,New,Over70
