input,output
0.025,0.45306966
0.05,0.407294902
0.075,0.36380285
0.1,0.323664424
0.125,0.287867966
0.15,0.257294902
0.175,0.232698043
0.2,0.214683045
0.225,0.203693498
0.25,0.2
0.275,0.203693498
0.3,0.214683045
0.325,0.232698043
0.35,0.257294902
0.375,0.287867966
0.4,0.323664424
0.425,0.36380285
0.45,0.407294902
0.475,0.45306966
0.5,0.5
0.525,0.54693034
0.55,0.592705098
0.575,0.63619715
0.6,0.676335576
0.625,0.712132034
0.65,0.742705098
0.675,0.767301957
0.7,0.785316955
0.725,0.796306502
0.75,0.8
0.775,0.796306502
0.8,0.785316955
0.825,0.767301957
0.85,0.742705098
0.875,0.712132034
0.9,0.676335576
0.925,0.63619715
0.95,0.592705098
0.975,0.54693034
