student,‹»–¡ŠÖS,—‰ğ“x,à–¾,Šw¶‘Î‰
S001,3,3,3,3
S002,2,4,1,4
S003,4,5,5,3
S004,5,5,5,5
S005,4,5,5,5
S006,3,5,4,3
S007,3,4,4,5
S008,3,3,5,5
S009,3,4,4,4
S010,3,3,4,3
S011,3,4,4,4
S012,3,4,3,4
S013,3,3,5,3
S014,2,5,5,2
S015,3,4,5,4
S016,2,4,5,4
S017,4,4,4,4
S018,3,4,4,5
S019,3,3,2,3
S020,4,4,5,4
S021,4,4,5,5
S022,3,4,4,3
S023,4,4,3,4
S024,2,4,5,5
S025,3,4,3,3
S026,4,4,4,5
S027,3,4,4,4
S028,3,3,4,4
S029,1,2,2,4
S030,4,4,5,5
S031,3,5,3,5
S032,4,4,4,3
S033,5,5,5,1
S034,5,5,4,5
S035,4,5,5,3
S036,4,4,4,4
S037,4,5,5,4
S038,4,5,1,3
S039,1,3,4,2
S040,1,2,2,5
S041,4,4,4,4
S042,3,4,4,4
S043,5,5,2,2
S044,2,3,4,3
S045,5,5,5,5
S046,3,4,5,3
S047,2,4,3,5
S048,3,4,4,4
S049,3,5,4,4
S050,3,4,4,3
S051,4,4,5,4
S052,5,5,5,5
S053,3,4,4,3
S054,4,5,4,5
S055,4,4,4,5
S056,3,4,4,4
S057,1,4,2,2
S058,4,5,5,5
S059,1,2,3,4
S060,2,4,2,5
S061,2,4,1,4
S062,4,4,5,4
S063,2,3,3,4
S064,3,4,3,3
S065,4,5,3,1
S066,3,4,4,4
S067,4,5,5,4
S068,5,5,4,4
S069,3,5,3,1
S070,4,5,4,2
S071,2,3,3,2
S072,3,4,2,4
S073,3,3,2,4
S074,4,5,5,4
S075,5,5,5,5
S076,4,4,4,5
S077,2,4,3,3
S078,3,4,5,4
S079,3,3,4,5
S080,4,4,4,4
S081,4,5,5,4
S082,4,5,5,1
S083,1,2,1,3
S084,1,2,1,4
S085,3,4,4,4
S086,3,4,4,4
S087,4,4,5,3
S088,3,3,3,3
S089,2,4,1,1
S090,3,3,1,2
S091,3,4,4,3
S092,4,5,5,4
S093,5,5,5,5
S094,4,5,4,5
S095,3,4,4,5
S096,4,5,4,4
S097,4,5,4,5
S098,4,5,5,5
S099,5,5,5,2
S100,4,5,4,5
S101,4,5,5,5
S102,2,4,5,4
S103,3,4,4,3
S104,4,5,4,3
S105,5,5,5,1
S106,4,4,5,4
S107,4,5,4,4
S108,4,4,5,4
S109,3,4,3,3
S110,3,5,5,5
S111,3,4,5,5
S112,3,4,5,5
S113,4,5,4,4
S114,2,4,3,3
S115,4,4,4,5
S116,4,5,4,4
S117,3,3,5,3
S118,1,1,3,4
S119,4,4,3,3
S120,3,4,4,5
S121,4,5,4,4
S122,5,5,4,5
S123,4,4,5,3
S124,3,4,3,4
S125,4,5,4,3
S126,4,4,5,4
S127,2,4,5,5
S128,4,5,4,5
S129,3,4,5,4
S130,4,3,3,3
S131,3,1,1,2
S132,4,5,5,3
S133,3,5,3,3
S134,4,4,5,4
S135,4,4,3,3
S136,4,4,4,4
S137,5,5,5,3
S138,4,4,3,4
S139,5,5,1,1
S140,3,4,4,4
S141,5,5,5,5
S142,2,4,4,2
S143,5,5,5,5
S144,2,4,1,3
S145,2,5,5,4
S146,2,4,3,3
S147,3,3,4,4
S148,3,5,4,5
S149,3,5,3,4
S150,3,4,4,1
S151,3,4,3,4
S152,3,4,5,5
S153,5,5,5,4
S154,4,4,3,4
S155,3,4,2,3
S156,4,5,3,4
S157,4,5,3,4
S158,5,5,5,5
S159,4,4,4,3
S160,3,4,4,4
S161,5,5,5,4
S162,4,4,4,1
S163,3,5,5,4
S164,2,2,2,1
S165,4,5,5,4
S166,3,4,3,4
S167,3,4,4,4
S168,5,5,5,5
S169,4,3,4,4
S170,5,5,5,5
S171,4,4,5,4
S172,3,5,3,5
S173,3,3,3,3
S174,3,4,5,4
S175,4,5,3,4
S176,1,1,1,1
S177,5,5,5,4
S178,4,4,4,4
S179,3,5,5,5
S180,4,5,4,4
S181,4,4,4,4
S182,4,5,4,3
S183,3,4,3,4
S184,3,4,4,5
S185,1,2,3,3
S186,4,2,3,3
S187,1,2,3,5
S188,4,4,4,4
S189,5,5,5,5
S190,4,4,5,4
S191,3,3,4,5
S192,3,4,4,5
S193,4,4,4,5
S194,4,5,4,3
S195,3,3,4,3
S196,4,5,5,5
S197,3,4,2,4
S198,4,3,5,5
S199,3,4,5,4
S200,3,3,2,4
