student,理解度,興味関心,進み具合,説明,話し方,学生対応
S001,3,3,3,3,3,3
S002,4,2,4,1,2,4
S003,5,4,5,5,5,3
S004,5,5,5,5,5,5
S005,5,4,5,5,5,5
S006,5,3,5,4,5,3
S007,4,3,5,4,4,5
S008,3,3,2,5,5,5
S009,4,3,4,4,4,4
S010,3,3,4,4,4,3
S011,4,3,4,4,5,4
S012,4,3,4,3,3,4
S013,3,3,4,5,5,3
S014,5,2,5,5,5,2
S015,4,3,2,5,5,4
S016,4,2,4,5,1,4
S017,4,4,4,4,4,4
S018,4,3,2,4,4,5
S019,3,3,4,2,3,3
S020,4,4,5,5,5,4
S021,4,4,5,5,5,5
S022,4,3,4,4,4,3
S023,4,4,4,3,4,4
S024,4,2,5,5,5,5
S025,4,3,4,3,4,3
S026,4,4,5,4,5,5
S027,4,3,5,4,5,4
S028,3,3,2,4,4,4
S029,2,1,5,2,3,4
S030,4,4,5,5,5,5
S031,5,3,5,3,3,5
S032,4,4,5,4,4,3
S033,5,5,5,5,5,1
S034,5,5,5,4,4,5
S035,5,4,5,5,5,3
S036,4,4,5,4,5,4
S037,5,4,5,5,5,4
S038,5,4,5,1,5,3
S039,3,1,5,4,2,2
S040,2,1,5,2,5,5
S041,4,4,4,4,4,4
S042,4,3,2,4,5,4
S043,5,5,5,2,4,2
S044,3,2,2,4,3,3
S045,5,5,5,5,5,5
S046,4,3,4,5,5,3
S047,4,2,5,3,5,5
S048,4,3,5,4,4,4
S049,5,3,5,4,5,4
S050,4,3,2,4,5,3
S051,4,4,5,5,4,4
S052,5,5,1,5,5,5
S053,4,3,5,4,3,3
S054,5,4,2,4,5,5
S055,4,4,4,4,4,5
S056,4,3,1,4,5,4
S057,4,1,5,2,5,2
S058,5,4,4,5,5,5
S059,2,1,3,3,4,4
S060,4,2,4,2,2,5
S061,4,2,3,1,1,4
S062,4,4,5,5,5,4
S063,3,2,2,3,3,4
S064,4,3,4,3,4,3
S065,5,4,4,3,4,1
S066,4,3,5,4,4,4
S067,5,4,5,5,5,4
S068,5,5,5,4,4,4
S069,5,3,3,3,3,1
S070,5,4,5,4,5,2
S071,3,2,2,3,4,2
S072,4,3,3,2,2,4
S073,3,3,2,2,3,4
S074,5,4,5,5,5,4
S075,5,5,5,5,5,5
S076,4,4,4,4,5,5
S077,4,2,5,3,3,3
S078,4,3,5,5,3,4
S079,3,3,4,4,4,5
S080,4,4,4,4,4,4
S081,5,4,5,5,4,4
S082,5,4,4,5,5,1
S083,2,1,2,1,1,3
S084,2,1,2,1,2,4
S085,4,3,4,4,2,4
S086,4,3,5,4,4,4
S087,4,4,5,5,4,3
S088,3,3,1,3,3,3
S089,4,2,1,1,1,1
S090,3,3,1,1,1,2
S091,4,3,4,4,4,3
S092,5,4,4,5,5,4
S093,5,5,5,5,4,5
S094,5,4,5,4,5,5
S095,4,3,5,4,4,5
S096,5,4,4,4,5,4
S097,5,4,5,4,5,5
S098,5,4,5,5,5,5
S099,5,5,5,5,5,2
S100,5,4,4,4,5,5
S101,5,4,5,5,5,5
S102,4,2,2,5,5,4
S103,4,3,4,4,4,3
S104,5,4,5,4,5,3
S105,5,5,5,5,5,1
S106,4,4,5,5,5,4
S107,5,4,5,4,5,4
S108,4,4,4,5,5,4
S109,4,3,4,3,4,3
S110,5,3,5,5,4,5
S111,4,3,4,5,5,5
S112,4,3,5,5,5,5
S113,5,4,4,4,4,4
S114,4,2,4,3,4,3
S115,4,4,5,4,5,5
S116,5,4,5,4,5,4
S117,3,3,1,5,4,3
S118,1,1,5,3,4,4
S119,4,4,4,3,3,3
S120,4,3,5,4,5,5
S121,5,4,5,4,3,4
S122,5,5,5,4,4,5
S123,4,4,5,5,4,3
S124,4,3,5,3,3,4
S125,5,4,5,4,4,3
S126,4,4,5,5,5,4
S127,4,2,5,5,5,5
S128,5,4,5,4,5,5
S129,4,3,2,5,5,4
S130,3,4,4,3,4,3
S131,1,3,2,1,1,2
S132,5,4,4,5,5,3
S133,5,3,5,3,5,3
S134,4,4,5,5,5,4
S135,4,4,5,3,5,3
S136,4,4,5,4,4,4
S137,5,5,5,5,5,3
S138,4,4,5,3,4,4
S139,5,5,5,1,1,1
S140,4,3,4,4,5,4
S141,5,5,5,5,5,5
S142,4,2,2,4,4,2
S143,5,5,3,5,2,5
S144,4,2,4,1,2,3
S145,5,2,5,5,4,4
S146,4,2,4,3,5,3
S147,3,3,4,4,4,4
S148,5,3,5,4,4,5
S149,5,3,5,3,4,4
S150,4,3,5,4,5,1
S151,4,3,4,3,4,4
S152,4,3,4,5,5,5
S153,5,5,5,5,5,4
S154,4,4,4,3,4,4
S155,4,3,3,2,2,3
S156,5,4,4,3,4,4
S157,5,4,4,3,4,4
S158,5,5,5,5,5,5
S159,4,4,3,4,4,3
S160,4,3,1,4,3,4
S161,5,5,5,5,4,4
S162,4,4,5,4,1,1
S163,5,3,4,5,3,4
S164,2,2,1,2,1,1
S165,5,4,3,5,5,4
S166,4,3,4,3,4,4
S167,4,3,3,4,4,4
S168,5,5,5,5,5,5
S169,3,4,4,4,4,4
