student,item1,item2,item4,item6,item8,item9
S001,3,3,3,3,3,3
S002,2,1,4,4,4,2
S003,5,5,5,3,5,4
S004,5,5,5,5,5,5
S005,5,5,5,5,5,4
S006,5,4,5,3,5,3
S007,4,4,5,5,4,3
S008,5,5,2,5,3,3
S009,4,4,4,4,4,3
S010,4,4,4,3,3,3
S011,5,4,4,4,4,3
S012,3,3,4,4,4,3
S013,5,5,4,3,3,3
S014,5,5,5,2,5,2
S015,5,5,2,4,4,3
S016,1,5,4,4,4,2
S017,4,4,4,4,4,4
S018,4,4,2,5,4,3
S019,3,2,4,3,3,3
S020,5,5,5,4,4,4
S021,5,5,5,5,4,4
S022,4,4,4,3,4,3
S023,4,3,4,4,4,4
S024,5,5,5,5,4,2
S025,4,3,4,3,4,3
S026,5,4,5,5,4,4
S027,5,4,5,4,4,3
S028,4,4,2,4,3,3
S029,3,2,5,4,2,1
S030,5,5,5,5,4,4
S031,3,3,5,5,5,3
S032,4,4,5,3,4,4
S033,5,5,5,1,5,5
S034,4,4,5,5,5,5
S035,5,5,5,3,5,4
S036,5,4,5,4,4,4
S037,5,5,5,4,5,4
S038,5,1,5,3,5,4
S039,2,4,5,2,3,1
S040,5,2,5,5,2,1
S041,4,4,4,4,4,4
S042,5,4,2,4,4,3
S043,4,2,5,2,5,5
S044,3,4,2,3,3,2
S045,5,5,5,5,5,5
S046,5,5,4,3,4,3
S047,5,3,5,5,4,2
S048,4,4,5,4,4,3
S049,5,4,5,4,5,3
S050,5,4,2,3,4,3
S051,4,5,5,4,4,4
S052,5,5,1,5,5,5
S053,3,4,5,3,4,3
S054,5,4,2,5,5,4
S055,4,4,4,5,4,4
S056,5,4,1,4,4,3
S057,5,2,5,2,4,1
S058,5,5,4,5,5,4
S059,4,3,3,4,2,1
S060,2,2,4,5,4,2
S061,1,1,3,4,4,2
S062,5,5,5,4,4,4
S063,3,3,2,4,3,2
S064,4,3,4,3,4,3
S065,4,3,4,1,5,4
S066,4,4,5,4,4,3
S067,5,5,5,4,5,4
S068,4,4,5,4,5,5
S069,3,3,3,1,5,3
S070,5,4,5,2,5,4
S071,4,3,2,2,3,2
S072,2,2,3,4,4,3
S073,3,2,2,4,3,3
S074,5,5,5,4,5,4
S075,5,5,5,5,5,5
S076,5,4,4,5,4,4
S077,3,3,5,3,4,2
S078,3,5,5,4,4,3
S079,4,4,4,5,3,3
S080,4,4,4,4,4,4
