students,‘½“Ç—Ê1,’PŒê—Í1,‘½“Ç—Ê2,’PŒê—Í2
S001,12,52,15,71
S002,8,47,10,55
S003,15,52,17,60
S004,14,54,18,67
S005,18,55,16,60
S006,10,47,8,72
S007,12,50,13,78
S008,14,50,8,57
S009,6,41,9,66
S010,9,51,10,59
S011,10,55,12,75
S012,6,53,10,54
S013,9,47,8,57
S014,12,49,13,72
S015,16,55,13,60
S017,18,55,11,61
S019,10,59,19,72
S020,8,69,16,72
S021,6,53,18,66
S022,10,54,20,70
S023,11,51,11,62
S024,5,43,15,68
S025,12,53,17,77
S026,14,54,15,66
S028,7,45,13,62
S029,9,51,11,56
S030,4,45,18,73
S031,11,57,15,69
S032,14,56,18,66
S033,8,49,10,62
S034,3,44,8,62
S035,5,49,7,57
S036,2,47,13,68
S037,5,46,17,78
S038,9,52,12,68
S039,5,44,8,64
S041,14,64,16,70
S042,4,54,8,60
S043,8,54,11,70
S044,11,54,15,68
S045,10,50,9,57
S046,6,46,8,60
S047,8,48,10,64
S048,5,46,8,62
S049,11,54,14,68
S050,3,46,10,59
