student,一学期,二学期,三学期
S001,40,40,40
S002,80,100,60
S003,20,20,60
S004,60,60,60
S005,60,60,80
S006,40,40,60
S007,40,20,60
S008,40,40,40
S009,100,60,60
S010,40,20,20
S011,60,60,40
S012,20,40,60
S013,20,0,20
S014,60,20,80
S015,80,80,100
S017,80,80,80
S019,20,40,40
S020,60,60,60
S021,40,40,60
S022,20,20,20
S023,20,20,20
S024,0,0,0
S025,40,60,80
S026,40,40,60
S028,20,40,60
S029,40,20,20
S030,40,80,80
S031,40,60,60
S032,40,40,60
S033,20,40,80
S034,60,60,60
S035,40,20,40
S036,60,40,80
S037,80,100,60
S038,40,80,100
S039,20,40,40
S041,40,100,100
S042,20,40,60
S043,80,60,60
S044,20,20,20
S045,40,60,80
S046,40,60,80
S047,80,100,80
S048,20,40,60
S049,100,80,80
S050,60,80,80
S051,40,60,60
S052,80,80,60
S053,0,20,20
S054,20,60,60
S055,20,40,40
S056,40,20,40
S057,20,40,80
S058,60,100,100
S059,20,20,20
S060,60,60,100
S061,0,20,40
S062,40,40,80
S063,80,100,100
S064,20,40,40
S065,20,40,80
S066,80,80,80
S067,100,60,80
S068,20,40,40
S069,60,60,60
S070,40,60,40
S071,20,60,60
S073,80,80,80
S074,80,100,100
S075,20,40,40
S076,20,40,60
S077,80,80,80
S078,20,20,20
S080,60,60,60
S081,20,20,40
S082,40,40,40
S083,60,60,60
S084,20,20,20
S085,40,20,20
S086,80,100,100
S087,20,0,0
S088,40,40,40
S089,60,60,80
S090,60,40,60
S091,20,40,40
S092,40,60,60
S093,80,60,60
S094,60,60,60
S095,60,60,40
S096,40,40,40
S097,40,40,60
S098,60,60,80
S099,40,0,20
S100,20,60,40
S101,60,80,80
S102,20,60,60
S103,40,60,60
S104,20,40,40
S105,60,60,80
S106,60,60,60
S107,0,20,40
S109,40,60,60
S110,60,60,60
S111,40,60,60
S112,20,40,40
S113,20,40,40
S114,40,40,40
S115,20,80,60
S116,40,60,40
S117,20,0,20
S118,40,40,40
S119,60,80,80
S120,60,60,60
S121,60,60,60
S122,40,40,60
S123,40,60,60
S124,60,60,60
S125,20,20,20
S126,100,100,100
S127,60,20,40
S128,60,60,60
S129,40,60,80
S130,80,60,60
S131,0,40,40
S132,60,60,60
S134,40,60,60
S135,60,40,60
S136,40,40,40
S137,40,60,60
S138,40,40,60
S140,60,80,80
S141,80,60,60
S142,40,40,60
S143,20,40,40
S144,60,60,60
S146,60,80,80
S147,0,40,40
S148,20,20,20
S149,60,80,100
S150,60,60,80
S151,40,20,40
S152,60,60,40
S153,60,60,60
S154,60,60,80
S155,20,60,80
S156,40,60,40
S157,60,60,60
S158,80,100,80
S159,60,40,40
S160,80,60,80
S161,40,60,40
S162,80,80,100
S163,40,40,40
S164,40,40,40
S165,60,40,60
S166,60,80,80
S167,80,80,100
S168,20,40,60
S169,60,80,80
S170,40,40,40
S171,80,60,80
S172,40,40,40
S173,60,60,80
S174,40,40,40
S175,80,60,80
S176,60,80,80
S177,100,80,100
S178,20,40,40
S179,60,80,60
S180,80,80,80
S181,100,100,100
S182,100,100,100
S183,40,40,60
S184,20,40,60
S185,60,80,60
S186,80,100,100
S188,40,40,40
S189,20,40,80
S190,60,60,60
S191,40,60,60
S192,40,40,40
S193,60,60,60
S195,60,60,40
S196,40,40,80
S197,60,80,80
S198,80,80,60
S199,20,40,20
S200,0,60,60
S201,100,80,80
S202,40,40,40
S203,20,40,20
S204,80,100,100
S205,20,40,60
S206,40,40,40
S207,60,80,80
S208,60,60,60
S209,40,40,40
S210,100,100,100
S211,60,60,80
S212,60,60,60
S213,60,100,80
S214,100,100,100
S215,60,60,60
S216,60,60,60
S217,40,60,60
S218,40,60,60
S219,60,80,80
S220,60,40,60
S221,60,80,80
S222,80,80,100
S223,60,80,60
S224,20,20,20
S225,40,60,60
S226,60,60,80
S227,20,60,40
S228,60,80,80
S229,60,80,100
S230,40,40,60
S231,80,60,80
S232,20,40,40
S233,20,20,40
S234,60,60,60
S235,60,80,80
S236,60,60,60
S237,60,100,100
S238,80,60,60
S239,80,80,40
S240,60,60,60
S241,80,80,100
S242,60,60,60
S244,40,40,40
S245,100,100,100
S246,40,40,20
S247,80,80,80
S248,60,60,60
S250,20,20,20
S251,80,60,60
S252,60,60,60
S253,40,40,40
S254,40,60,80
S255,40,20,40
S256,60,60,60
S257,80,60,60
S258,80,60,60
S259,60,20,60
S260,80,60,60
S261,80,80,80
S262,100,80,80
S263,60,60,80
S265,60,80,80
S266,80,80,80
S267,20,20,40
S268,40,60,60
S269,0,0,0
S270,40,60,60
S271,60,80,80
S272,60,60,80
S273,100,100,100
S274,80,80,100
S275,60,60,80
S276,80,80,80
S277,60,40,80
S278,60,60,60
S279,60,60,60
S280,20,40,40
S281,80,80,100
