Listening,Reading,Writing,Speaking,Grade
62,88,61,79,pass
67,60,90,67,pass
73,57,79,47,pass
72,54,57,78,fail
69,67,78,81,pass
91,66,60,65,pass
55,64,75,57,pass
54,79,59,43,pass
59,70,58,64,fail
60,57,59,48,fail
57,93,61,45,pass
69,57,67,65,fail
60,68,65,65,fail
73,55,86,47,pass
56,88,68,40,pass
65,82,74,45,pass
59,60,64,47,fail
98,69,67,82,pass
52,50,64,73,fail
64,56,77,56,pass
64,71,80,41,pass
59,69,58,56,fail
61,94,74,50,pass
56,73,78,45,pass
65,55,80,63,pass
52,87,59,83,pass
94,68,68,84,pass
94,74,60,68,pass
53,89,61,43,pass
71,59,85,70,pass
53,82,63,58,pass
87,68,70,44,pass
72,62,72,71,pass
71,61,67,59,fail
72,57,87,52,pass
52,56,71,65,fail
73,85,73,40,pass
71,73,71,74,pass
52,60,87,82,pass
68,66,63,46,fail
66,68,90,80,pass
64,72,73,64,pass
92,66,62,58,pass
93,70,66,44,pass
61,96,58,75,pass
56,57,76,54,pass
61,90,68,82,pass
70,86,56,40,pass
52,62,74,62,pass
64,55,56,85,fail
70,73,76,66,pass
98,70,60,69,pass
56,70,89,69,pass
73,95,67,68,pass
73,63,90,76,pass
60,60,90,58,pass
67,68,68,46,fail
57,68,86,54,pass
69,64,89,66,pass
64,67,76,84,pass
74,73,71,46,pass
74,76,67,80,pass
74,59,71,85,pass
69,56,66,83,fail
95,69,67,80,pass
65,81,56,47,pass
55,74,90,64,pass
53,70,80,51,pass
66,85,62,81,pass
75,86,68,72,pass
52,71,71,69,pass
67,77,70,74,pass
55,69,72,54,pass
60,56,67,53,fail
67,84,67,72,pass
69,82,71,52,pass
68,57,85,49,pass
74,67,85,74,pass
61,65,74,53,pass
59,51,57,66,fail
74,63,88,43,pass
99,72,65,58,pass
53,87,58,66,pass
67,60,70,44,fail
66,87,74,74,pass
69,73,74,85,pass
71,81,75,60,pass
67,54,56,73,fail
94,71,60,57,pass
52,61,75,81,fail
96,72,68,49,pass
85,68,62,47,pass
97,66,67,61,pass
72,74,80,43,pass
57,67,87,84,pass
59,58,82,61,pass
59,67,83,60,pass
87,72,69,62,pass
52,53,57,65,fail
74,91,59,56,pass
