student,score
S001,67
S002,31
S003,93
S004,74
S005,75
S006,55
S007,90
S008,79
S009,69
S010,85
S011,54
S012,63
S013,55
S014,44
S015,34
S016,88
S017,40
S018,85
S019,66
S020,37
S021,52
S022,44
S023,78
S024,51
S025,58
S026,57
S027,48
S028,67
S029,24
S030,46
S031,80
S032,51
S033,57
S034,57
S035,51
S036,61
S037,89
S038,83
S039,49
S040,69
S041,58
S042,46
S043,75
S044,60
S045,63
S046,21
S047,50
S048,56
S049,64
S050,75
S051,74
S052,73
S053,71
S054,57
S055,52
S056,74
S057,63
S058,56
S059,72
S060,60
S061,53
S062,70
S063,76
S064,72
S065,69
S066,79
S067,62
S068,62
S069,55
S070,83
S071,50
S072,87
S073,43
S074,94
S075,68
S076,63
S077,44
S078,76
S079,52
S080,32
S081,48
S082,82
S083,51
S084,32
S085,39
S086,63
S087,39
S088,68
S089,60
S090,82
S091,82
S092,63
S093,73
S094,63
S095,91
S096,50
S097,60
S098,75
S099,96
S100,22
