student,class,sex,score
S001,A,M,82
S002,A,M,60
S003,A,M,66
S004,A,F,84
S005,A,M,78
S006,A,F,82
S007,A,F,46
S008,A,F,70
S009,A,M,48
S010,A,M,70
S011,A,F,60
S012,A,M,44
S013,A,M,60
S014,A,M,64
S015,A,M,40
S016,A,F,34
S017,A,F,52
S018,A,F,76
S019,A,F,76
S020,A,M,86
S021,A,F,66
S022,A,M,64
S023,A,M,40
S024,A,M,44
S025,A,M,60
S026,A,M,24
S027,A,M,78
S028,A,M,64
S029,A,M,52
S030,A,M,48
S031,A,M,46
S032,A,M,72
S033,A,M,52
S034,B,F,56
S035,B,F,40
S036,B,F,50
S037,B,M,82
S038,B,M,76
S039,B,F,54
S040,B,M,94
S041,B,F,54
S042,B,M,78
S043,B,M,62
S044,B,F,58
S045,B,F,68
S046,B,F,48
S047,B,F,74
S048,B,F,64
S049,B,F,60
S050,B,M,80
S051,B,M,72
S052,B,F,94
S053,B,M,82
S054,B,F,82
S055,B,F,80
S056,B,F,44
S057,B,F,46
S058,B,M,94
S059,B,F,NA
S060,B,M,90
S061,B,F,62
S062,B,M,80
S063,B,F,92
S064,B,F,62
S065,B,M,94
S066,B,M,92
S067,B,F,80
S068,B,M,86
S069,B,F,76
S070,B,M,86
S071,B,F,82
