Student,class,score
S001,A,76
S002,A,54
S003,A,62
S004,A,46
S005,A,53
S006,A,64
S007,A,42
S008,A,96
S009,A,87
S010,A,92
S011,A,89
S012,A,63
S013,A,39
S014,A,30
S015,A,85
S016,A,31
S017,A,60
S018,A,63
S019,A,94
S020,A,29
S021,A,47
S022,A,53
S023,A,33
S024,A,56
S025,A,46
S026,A,97
S027,A,54
S028,A,43
S029,A,79
S030,B,56
S031,B,70
S032,B,88
S033,B,42
S034,B,64
S035,B,40
S036,B,62
S037,B,86
S038,B,55
S039,B,45
S040,B,33
S041,B,77
S042,B,59
S043,B,82
S044,B,80
S045,B,95
S046,B,89
S047,B,35
S048,B,92
S049,B,88
S050,B,53
S051,B,43
S052,B,47
S053,B,94
S054,B,64
S055,B,78
S056,B,29
S057,B,47
S058,B,65
S059,C,64
S060,C,58
S061,C,86
S062,C,65
S063,C,86
S064,C,65
S065,C,88
S066,C,52
S067,C,95
S068,C,63
S069,C,65
S070,C,68
S071,C,51
S072,C,42
S073,C,98
S074,C,88
S075,C,87
S076,C,75
S077,C,98
S078,C,99
S079,C,51
S080,C,52
S081,C,89
S082,C,69
S083,C,72
S084,C,82
S085,C,94
S086,C,63
S087,C,84
