student,class,pre,post,delayed
S001,A,31,48,30
S002,A,39,51,44
S003,A,56,67,58
S004,A,47,44,50
S005,A,29,33,47
S006,A,37,41,43
S007,A,46,43,55
S008,A,37,53,42
S009,A,38,64,49
S010,A,30,52,33
S011,A,33,53,43
S012,A,33,44,40
S013,A,31,39,44
S014,A,25,32,31
S015,A,51,62,57
S016,A,31,43,38
S017,A,56,59,59
S018,A,18,19,22
S019,A,35,46,37
S020,A,30,50,35
S021,A,46,62,62
S022,A,35,45,43
S023,A,43,58,51
S024,A,40,49,53
S025,A,46,58,51
S026,A,50,66,69
S027,A,39,44,54
S028,A,45,64,44
S029,A,22,45,41
S030,A,33,53,44
S031,B,36,42,31
S032,B,39,41,38
S033,B,39,44,42
S034,B,42,30,30
S035,B,17,13,27
S036,B,38,32,32
S037,B,39,27,33
S038,B,35,41,38
S039,B,39,55,55
S040,B,29,42,35
S041,B,32,43,44
S042,B,53,49,46
S043,B,44,39,43
S044,B,45,38,34
S045,B,40,43,44
S046,B,33,35,34
S047,B,24,24,27
S048,B,42,28,23
S049,B,35,36,31
S050,B,45,51,45
S051,B,36,45,54
S052,B,40,39,39
S053,B,15,26,31
S054,B,37,37,44
S055,B,21,29,31
S056,B,52,58,68
S057,B,35,31,41
S058,B,55,62,50
S059,B,55,60,64
S060,B,59,64,61
