student,class,sex,faculty,mid,end,suki,manzoku,rikai
S001,A,M,F01,86,99,5,5,5
S002,A,F,F01,96,82,3,5,5
S003,A,M,F01,52,77,5,2,3
S004,A,F,F01,72,47,4,3,4
S005,A,F,F01,74,67,1,4,2
S006,A,M,F01,90,84,4,4,4
S007,A,M,F01,82,74,5,1,4
S008,A,M,F01,94,97,4,5,4
S009,A,F,F01,82,96,5,5,4
S010,A,F,F01,88,100,4,4,3
S011,A,F,F01,82,70,4,2,1
S012,A,M,F01,NA,99,5,5,4
S013,A,F,F01,92,97,4,5,4
S014,A,F,F01,72,97,3,5,5
S015,A,M,F01,78,61,1,3,1
S016,A,F,F01,70,61,5,2,3
S017,A,F,F01,58,59,3,3,3
S018,A,M,F01,66,78,4,3,4
S019,A,F,F01,88,99,4,5,4
S020,A,M,F01,82,97,4,4,1
S021,A,F,F01,72,84,1,4,2
S022,A,F,F01,92,83,3,4,1
S023,A,F,F01,84,64,5,3,3
S024,A,F,F01,94,96,3,5,4
S025,A,F,F01,92,99,5,5,5
S026,A,M,F01,94,100,1,4,2
S027,A,M,F01,86,98,3,5,5
S028,A,F,F01,90,93,5,5,5
S029,A,M,F01,84,87,3,4,3
S030,B,F,F01,NA,98,3,4,3
S031,B,F,F01,98,72,5,4,3
S032,B,M,F01,36,63,3,2,3
S033,B,F,F01,90,100,4,4,4
S034,B,F,F01,72,79,4,4,4
S035,B,F,F01,96,100,3,5,5
S036,B,F,F01,72,75,3,1,1
S037,B,F,F01,54,23,2,2,1
S038,B,F,F01,80,47,3,2,3
S039,B,F,F01,84,100,5,4,4
S040,B,F,F01,80,75,4,3,2
S041,B,F,F01,98,82,4,5,4
S042,B,F,F01,68,85,3,5,4
S043,B,M,F01,74,58,3,3,1
S044,B,F,F01,92,100,5,5,4
S045,B,M,F01,92,93,5,5,4
S046,B,F,F01,86,89,3,5,5
S047,B,F,F01,74,54,1,3,1
S048,B,M,F01,94,98,4,5,4
S049,B,M,F02,52,85,4,5,4
S050,B,M,F02,42,68,4,4,1
S051,B,F,F02,86,97,3,5,5
S052,B,M,F02,68,70,3,4,4
S053,B,F,F02,94,98,5,4,3
S054,B,M,F02,82,69,4,2,3
S055,B,M,F02,68,82,4,5,4
S056,B,M,F02,NA,98,4,5,5
S057,B,F,F02,82,82,4,4,1
S058,C,M,F02,94,100,3,4,1
S059,C,F,F02,94,85,3,4,3
S060,C,F,F02,86,86,4,4,3
S061,C,M,F02,76,60,3,2,3
S062,C,M,F02,80,67,3,4,3
S063,C,F,F02,58,93,4,5,5
S064,C,M,F02,96,69,4,1,2
S065,C,F,F02,68,69,4,3,3
S066,C,M,F02,80,73,2,4,1
S067,C,F,F02,90,97,3,5,5
S068,C,F,F02,84,96,3,4,3
S069,C,M,F02,70,54,5,3,4
S070,C,F,F02,80,99,3,4,1
S071,C,F,F02,70,87,4,5,4
S072,C,F,F02,90,96,4,5,4
S073,C,F,F02,78,97,1,4,2
S074,C,F,F02,80,97,5,5,4
S075,C,F,F02,92,96,5,5,5
S076,C,M,F02,82,64,2,2,2
S077,C,M,F02,62,57,3,4,2
S078,C,M,F02,96,97,3,5,4
S079,C,F,F02,76,71,3,2,3
S080,C,F,F02,88,96,2,4,1
S081,C,F,F02,90,70,2,1,1
S082,C,M,F02,80,79,5,3,4
S083,C,F,F02,80,96,1,4,2
S084,C,M,F02,48,60,2,4,1
S085,D,M,F05,72,51,5,1,3
S086,D,M,F05,54,69,3,4,2
S087,D,M,F05,88,97,3,5,4
S088,D,M,F05,70,54,3,2,3
S089,D,F,F05,82,99,4,5,4
S090,D,M,F05,48,51,3,1,1
S091,D,M,F05,54,32,3,3,3
S092,D,M,F05,84,99,5,5,5
S093,D,M,F05,76,84,4,4,4
S094,D,M,F05,74,99,4,5,5
S095,D,M,F05,68,65,3,1,1
S096,D,M,F05,NA,97,3,4,4
S097,D,M,F05,NA,97,3,5,5
S098,D,M,F05,64,93,4,5,4
S099,D,F,F05,70,97,3,5,4
S100,D,F,F05,66,56,1,3,2
S101,D,M,F05,68,71,2,4,1
S102,D,M,F05,70,43,3,2,1
S103,D,M,F05,66,74,3,2,2
S104,D,M,F05,32,8,3,4,1
S105,D,M,F05,NA,96,3,5,5
S106,D,M,F05,96,98,1,4,2
S107,D,M,F05,62,54,3,2,2
S108,D,M,F05,72,88,3,5,5
S109,D,M,F05,86,61,5,3,4
S110,D,M,F05,80,78,4,3,1
S111,D,M,F05,88,83,4,4,1
S112,D,F,F05,70,83,3,4,2
S113,D,M,F05,54,55,4,4,3
S114,D,M,F05,66,35,3,3,2
S115,D,M,F05,46,18,4,2,3
S116,D,M,F05,72,92,3,4,4
S117,D,M,F05,54,31,4,1,2
S118,D,M,F05,82,74,5,2,4
S119,E,M,F05,82,100,3,5,4
S120,E,M,F05,60,47,5,3,3
S121,E,M,F05,66,97,5,4,4
S122,E,F,F05,84,94,5,5,5
S123,E,M,F05,78,100,5,5,4
S124,E,F,F05,82,97,4,4,3
S125,E,F,F05,46,24,3,4,4
S126,E,F,F05,70,68,3,2,2
S127,E,M,F05,48,65,4,4,3
S128,E,M,F05,70,60,3,1,4
S129,E,F,F05,60,47,3,3,3
S130,E,M,F05,44,61,4,4,1
S131,E,M,F05,60,39,5,3,3
S132,E,M,F05,64,42,2,4,1
S133,E,M,F05,40,12,4,1,2
S134,E,F,F05,34,9,5,2,3
S135,E,F,F05,52,50,1,2,2
S136,E,F,F05,76,89,4,4,2
S137,E,F,F05,76,67,2,4,2
S138,E,M,F05,86,98,4,4,3
S139,E,F,F05,66,48,4,4,3
S140,E,M,F05,64,74,3,1,3
S141,E,M,F05,40,25,5,1,4
S142,E,M,F05,44,31,4,4,1
S143,E,M,F05,60,60,1,1,1
S144,E,M,F05,24,36,5,1,3
S145,E,M,F05,78,63,1,2,1
S146,E,M,F05,64,83,3,4,4
S147,E,M,F05,52,71,4,3,1
S148,E,M,F05,48,50,4,4,3
S149,E,M,F05,96,97,3,5,4
S150,E,M,F05,46,81,3,5,4
S151,E,M,F05,72,88,3,4,4
S152,E,M,F05,52,44,2,1,1
S153,F,M,F06,84,56,5,2,3
S154,F,M,F06,NA,97,4,4,3
S155,F,M,F06,52,46,2,1,1
S156,F,M,F06,38,21,3,4,3
S157,F,M,F06,58,66,2,2,1
S158,F,F,F06,72,59,4,4,2
S159,F,M,F06,78,99,4,4,2
S160,F,M,F06,44,40,4,2,1
S161,F,M,F06,36,42,3,3,3
S162,F,M,F06,84,56,4,3,3
S163,F,F,F06,90,99,3,4,3
S164,F,F,F06,94,99,2,4,2
S165,F,M,F06,60,97,3,4,3
S166,F,F,F06,86,97,4,5,5
S167,F,M,F06,50,82,5,5,4
S168,F,F,F06,84,86,3,4,1
S169,F,M,F06,88,97,4,5,4
S170,F,F,F06,66,82,3,4,4
S171,F,F,F06,46,35,5,2,3
S172,F,F,F06,70,42,1,2,2
S173,F,F,F06,54,56,3,2,3
S174,F,M,F06,78,91,2,4,1
S175,F,F,F06,72,96,1,4,2
S176,F,F,F06,42,44,4,1,4
S177,F,F,F06,74,98,5,5,4
S178,F,F,F06,42,50,4,3,4
S179,F,F,F06,62,70,3,3,3
S180,F,F,F06,72,95,3,5,5
S181,F,F,F06,58,98,4,4,3
S182,F,F,F06,62,63,4,2,2
S183,F,F,F06,54,59,4,4,1
S184,F,F,F06,72,59,5,4,4
S185,F,F,F06,80,88,5,5,5
S186,F,F,F06,66,51,1,4,2
S187,F,F,F06,54,83,3,5,5
S188,F,F,F06,80,76,5,3,4
S189,G,F,F06,56,43,3,3,3
S190,G,F,F06,40,41,2,3,2
S191,G,F,F06,50,44,3,3,3
S192,G,M,F06,82,67,5,4,3
S193,G,M,F06,76,99,3,4,3
S194,G,F,F06,54,87,4,4,2
S195,G,M,F06,94,100,4,4,4
S196,G,F,F06,54,89,3,4,3
S197,G,M,F06,78,81,5,5,4
S198,G,M,F06,62,98,3,5,4
S199,G,F,F06,58,44,1,1,2
S200,G,F,F06,68,67,4,3,2
S201,G,F,F06,48,68,4,4,3
S202,G,F,F06,74,46,3,2,4
S203,G,F,F06,64,74,4,4,1
S204,G,F,F06,60,46,5,3,4
S205,G,M,F06,80,100,3,4,4
S206,G,M,F07,72,59,2,3,1
S207,G,F,F07,94,80,3,3,1
S208,G,M,F07,82,85,5,4,4
S209,G,F,F07,82,65,3,1,3
S210,G,F,F07,80,67,1,2,2
S211,G,F,F07,44,30,3,1,2
S212,G,F,F07,46,78,3,2,1
S213,G,M,F07,94,85,4,4,1
S214,G,F,F07,NA,100,5,4,3
S215,G,M,F07,90,98,3,4,1
S216,G,F,F07,62,55,5,2,3
S217,G,M,F07,80,86,5,4,4
S218,G,F,F07,92,97,5,5,5
S219,G,F,F07,62,53,5,1,4
S220,G,M,F07,94,72,5,2,4
S221,G,M,F07,92,90,5,5,5
S222,G,F,F07,80,91,4,5,4
S223,G,M,F07,86,94,4,5,5
S224,G,F,F07,76,86,3,4,2
S225,G,M,F07,86,75,2,3,2
S226,G,F,F07,82,99,4,4,4
S227,H,F,F09,76,94,5,4,4
S228,H,M,F09,84,99,3,4,4
S229,H,M,F09,74,81,4,4,3
S230,H,F,F09,66,69,1,3,2
S231,H,F,F09,92,73,2,4,2
S232,H,F,F09,94,86,2,4,1
S233,H,M,F09,92,98,4,5,4
S234,H,M,F09,82,100,2,4,2
S235,H,F,F09,86,86,4,5,5
S236,H,F,F09,78,97,1,4,1
S237,H,F,F09,84,64,5,2,4
S238,H,M,F09,70,100,2,4,2
S239,H,M,F09,42,33,2,2,1
S240,H,M,F09,60,92,4,4,1
S241,H,M,F09,76,84,4,5,5
S242,H,M,F09,76,97,4,4,2
S243,H,M,F09,92,64,4,4,3
S244,H,F,F09,96,95,5,5,4
S245,H,M,F09,94,100,4,5,4
S246,H,M,F09,64,97,4,4,2
S247,H,M,F09,86,96,3,4,2
S248,H,M,F09,92,99,3,4,3
S249,H,M,F09,42,42,3,3,1
S250,H,M,F09,88,86,1,4,1
S251,H,M,F09,76,87,4,5,4
S252,H,M,F09,92,72,1,3,1
S253,H,M,F09,58,61,3,4,1
S254,H,M,F09,86,88,4,5,4
S255,H,M,F09,50,29,5,3,4
S256,H,M,F09,38,46,1,3,1
S257,H,M,F09,66,55,4,4,4
S258,H,M,F09,52,76,3,2,3
S259,H,M,F09,62,59,5,2,3
S260,H,M,F09,76,59,3,1,1
S261,H,M,F09,54,45,4,2,3
S262,H,M,F09,90,80,5,3,4
S263,H,M,F09,58,56,4,1,4
S264,H,M,F09,70,89,4,5,4
S265,H,M,F09,70,78,4,4,3
S266,H,F,F09,72,99,3,4,1
S267,H,M,F09,74,98,3,4,3
S268,H,M,F09,60,31,5,2,4
S269,H,M,F09,54,35,3,4,4
S270,H,M,F09,94,89,5,5,4
S271,H,M,F09,70,97,1,4,2
S272,H,M,F09,62,70,4,2,4
S273,I,M,F09,88,96,3,4,1
S274,I,F,F09,70,97,4,4,3
S275,I,M,F09,62,58,5,4,3
S276,I,M,F09,84,89,2,4,1
S277,I,F,F09,98,92,3,5,4
