student,mid,end,quiz
S001,77,NA,36
S002,54,47,28
S003,73,65,31
S004,63,60,26
S005,44,62,24
S006,42,58,28
S007,57,45,22
S008,39,47,13
S009,58,46,9
S010,51,45,28
S011,78,62,40
S012,73,65,34
S013,54,67,26
S014,68,65,30
S015,56,58,30
S016,37,60,25
S017,74,66,36
S018,53,55,21
S019,85,60,45
S020,83,67,38
S021,64,61,25
S022,48,26,6
S023,65,78,41
S024,67,61,30
S025,49,67,36
S026,70,84,35
S027,47,50,21
S028,48,60,15
S029,75,70,42
S030,58,53,31
S031,16,9,3
S032,73,66,40
S033,60,59,21
S034,71,63,26
S035,88,5,45
S036,37,28,24
S037,46,59,41
S038,59,53,26
S039,80,79,49
S040,73,74,40
S041,72,64,16
S042,33,28,15
S043,59,52,12
S044,42,46,11
S045,77,71,46
S046,78,74,19
S047,66,68,26
S048,55,66,28
S049,39,35,20
S050,43,48,26
S051,65,58,20
S052,69,67,33
S053,66,57,31
S054,38,30,15
S055,67,60,30
S056,63,67,26
S057,20,37,9
S058,39,42,20
S059,71,79,36
S060,55,60,30
S061,67,63,26
S062,53,58,35
S063,63,65,31
S064,31,36,14
S065,74,58,31
S066,68,63,26
S067,64,55,34
S068,36,51,21
S069,92,11,35
S070,52,57,30
S071,46,46,26
S072,51,47,14
S073,69,48,36
S074,53,54,25
S075,66,59,26
S076,48,46,20
S077,46,56,22
S078,69,78,38
S079,57,57,32
S080,50,50,31
S081,43,53,19
S082,35,45,18
S083,33,33,13
S084,70,78,31
S085,26,33,11
S086,55,42,23
S087,59,51,31
S088,65,57,19
S089,44,43,17
S090,55,48,16
S091,31,35,21
S092,70,92,47
S093,50,69,31
S094,34,33,10
S095,48,50,16
S096,52,28,16
S097,68,52,37
S098,50,52,31
S099,54,48,39
S100,64,53,26
