,School,TOEIC,Hour
ST001,1,250,8
ST002,1,305,2
ST003,1,280,8
ST004,1,290,6
ST005,1,300,2
ST006,1,240,6
ST007,1,270,4
ST008,1,265,7
ST009,1,305,8
ST010,1,290,2
ST011,1,285,3
ST012,1,320,6
ST013,1,355,6
ST014,1,325,6
ST015,1,295,2
ST016,1,310,8
ST017,1,345,8
ST018,1,295,8
ST019,1,395,7
ST020,1,390,9
ST021,1,205,4
ST022,1,350,8
ST023,1,310,6
ST024,1,285,6
ST025,1,300,9
ST026,1,270,4
ST027,1,395,7
ST028,1,375,8
ST029,1,400,8
ST030,1,215,10
ST031,1,230,8
ST032,1,325,2
ST033,1,265,3
ST034,1,225,6
ST035,1,255,5
ST036,1,260,8
ST037,1,350,8
ST038,1,320,10
ST039,1,340,7
ST040,1,345,2
ST041,2,385,7
ST042,2,410,11
ST043,2,415,8
ST044,2,355,6
ST045,2,530,11
ST046,2,395,8
ST047,2,545,13
ST048,2,550,10
ST049,2,470,10
ST050,2,545,13
ST051,2,485,10
ST052,2,510,10
ST053,2,470,10
ST054,2,505,10
ST055,2,475,11
ST056,2,445,10
ST057,2,375,11
ST058,2,480,12
ST059,2,475,12
ST060,2,470,9
ST061,2,445,12
ST062,2,450,8
ST063,2,440,11
ST064,2,375,8
ST065,2,450,10
ST066,2,505,11
ST067,2,515,9
ST068,2,445,10
ST069,2,455,8
ST070,2,475,13
ST071,2,445,11
ST072,2,540,14
ST073,2,395,7
ST074,2,380,9
ST075,2,515,9
ST076,2,470,12
ST077,2,500,13
ST078,2,465,11
ST079,2,520,10
ST080,2,395,11
ST081,3,700,16
ST082,3,620,11
ST083,3,580,11
ST084,3,675,12
ST085,3,655,13
ST086,3,610,12
ST087,3,590,14
ST088,3,655,14
ST089,3,475,13
ST090,3,560,12
ST091,3,630,15
ST092,3,460,12
ST093,3,605,12
ST094,3,585,14
ST095,3,515,11
ST096,3,685,14
ST097,3,660,15
ST098,3,530,13
ST099,3,645,14
ST100,3,535,10
ST101,3,565,12
ST102,3,625,11
ST103,3,695,14
ST104,3,665,12
ST105,3,680,13
ST106,3,625,12
ST107,3,505,9
ST108,3,630,15
ST109,3,605,12
ST110,3,495,12
ST111,3,660,15
ST112,3,645,15
ST113,3,670,15
ST114,3,610,13
ST115,3,635,14
ST116,3,475,13
ST117,3,525,12
ST118,3,615,13
ST119,3,605,11
ST120,3,610,12
