students,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18
S001,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2
S002,2,2,2,2,1,2,2,1,2,2,2,2,3,2,3,2,1,2
S003,,,,,,,2,3,2,3,2,2,2,2,2,3,2,2
S004,2,3,2,2,1,2,,,,2,2,2,2,2,2,2,2,1
S005,2,1,2,3,1,3,2,1,1,2,2,2,2,2,2,0,0,0
S006,0,0,0,2,1,2,2,2,2,3,2,2,1,1,2,2,2,2
S007,0,0,0,0,0,0,2,1,1,2,1,1,2,1,2,1,1,2
S008,1,1,1,2,1,2,2,1,2,1,1,1,3,2,2,2,2,1
S009,1,1,0,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2
S010,3,0,2,3,2,3,,,,,,,1,1,2,2,2,2
S011,,,,,,,,,,,,,3,2,2,2,2,2
S012,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,0,1
S013,2,2,2,2,1,1,2,3,2,2,1,2,2,2,2,2,1,2
S014,1,1,2,1,0,1,2,2,2,1,1,1,2,1,2,2,2,2
S015,3,1,2,2,1,2,2,1,2,1,1,1,2,1,2,2,2,2
S016,2,2,2,2,1,1,3,2,2,1,1,1,2,1,2,1,0,1
S017,2,3,2,3,2,2,2,3,2,2,2,2,3,2,2,2,2,1
S018,2,3,2,3,1,2,,,,,,,3,1,2,3,2,1
S019,2,3,3,3,1,2,3,3,3,2,2,2,3,2,2,2,2,2
S020,1,1,1,1,1,1,2,1,1,1,0,1,2,1,2,1,0,2
S021,,,,,,,3,3,2,2,2,2,2,1,1,1,1,1
S022,,,,,,,2,1,2,2,1,2,3,2,2,1,2,2
S023,2,2,2,1,1,2,1,1,2,2,2,2,3,2,2,2,1,2
S024,2,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2
S025,2,2,2,2,1,2,3,2,2,3,1,2,2,2,2,1,1,1
S026,1,3,2,3,1,2,3,3,3,2,1,2,2,2,2,2,2,2
S027,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2
S028,1,1,1,2,2,2,3,3,2,2,2,2,2,2,2,3,2,2
S029,1,2,2,1,0,0,1,0,1,1,0,1,,,,,,
S030,,,,,,,,,,1,1,1,2,1,2,2,1,0
S031,,,,,,,2,3,2,2,1,2,1,1,2,2,2,2
S032,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2
S033,2,2,2,1,0,1,2,1,1,2,2,2,1,1,1,2,2,2
S034,2,2,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2
S035,,,,,,,2,3,2,1,1,1,1,2,2,2,2,2
S036,0,1,0,0,1,0,1,1,1,1,1,1,1,2,2,2,2,2
S037,2,2,2,2,2,2,3,2,3,1,1,1,2,2,2,2,1,2
S038,,,,,,,1,1,1,1,0,1,1,1,1,2,2,2
S039,2,3,2,3,1,2,3,3,3,2,1,2,2,2,2,2,2,2
S040,,,,,,,1,1,2,1,1,1,2,1,2,2,1,1
S041,2,3,2,2,0,1,1,0,1,0,0,0,1,1,0,2,1,1
S042,2,3,3,2,3,3,3,3,2,2,1,2,3,2,2,3,3,3
S043,2,1,2,2,1,1,2,3,2,1,1,1,1,2,2,2,2,2
S044,1,1,1,0,0,0,1,0,0,1,1,1,2,1,1,2,1,2
S045,2,2,2,2,1,2,3,3,3,1,1,1,2,1,2,2,2,2
S046,1,1,1,1,1,1,2,3,2,2,2,1,3,1,2,2,2,2
S047,2,2,2,3,3,3,3,3,2,1,1,1,3,2,2,3,3,2
S048,2,2,2,2,2,2,1,2,2,1,1,1,2,1,1,2,2,2
S049,1,1,2,2,1,2,2,3,3,1,2,2,1,1,2,1,1,2
